close,date,drawdown_60,rsi14,type,volume_ratio20
265910.0,20251123,,71.36,RSI_OVERBOUGHT,
265910.0,20251123,,,BREAKOUT_UP_20D,
268140.0,20251125,,72.53,RSI_OVERBOUGHT,
268140.0,20251125,,,BREAKOUT_UP_20D,
272650.0,20251208,,,BREAKOUT_UP_20D,
273590.0,20251209,,,BREAKOUT_UP_20D,
276840.0,20251213,,71.32,RSI_OVERBOUGHT,
276840.0,20251213,,,BREAKOUT_UP_20D,
280130.0,20251215,,70.89,RSI_OVERBOUGHT,
280130.0,20251215,,,BREAKOUT_UP_20D,
286520.0,20251216,,74.28,RSI_OVERBOUGHT,
286520.0,20251216,,,BREAKOUT_UP_20D,
289760.0,20251217,,75.81,RSI_OVERBOUGHT,
289760.0,20251217,,,BREAKOUT_UP_20D,
298340.0,20251220,,79.33,RSI_OVERBOUGHT,
298340.0,20251220,,,BREAKOUT_UP_20D,
301640.0,20251221,,80.5,RSI_OVERBOUGHT,
301640.0,20251221,,,BREAKOUT_UP_20D,
296740.0,20251222,,73.8,RSI_OVERBOUGHT,
297910.0,20251223,,74.35,RSI_OVERBOUGHT,
306170.0,20251224,,77.88,RSI_OVERBOUGHT,
306170.0,20251224,,,BREAKOUT_UP_20D,
314650.0,20251227,,80.79,RSI_OVERBOUGHT,
314650.0,20251227,,,BREAKOUT_UP_20D,
323220.0,20251228,,83.21,RSI_OVERBOUGHT,
323220.0,20251228,,,BREAKOUT_UP_20D,
317740.0,20251229,,76.58,RSI_OVERBOUGHT,
321140.0,20260104,,72.17,RSI_OVERBOUGHT,
330770.0,20260105,,75.52,RSI_OVERBOUGHT,
330770.0,20260105,,,BREAKOUT_UP_20D,
340690.0,20260106,,78.4,RSI_OVERBOUGHT,
340690.0,20260106,,,BREAKOUT_UP_20D,
350910.0,20260107,,80.9,RSI_OVERBOUGHT,
350910.0,20260107,,,BREAKOUT_UP_20D,
348470.0,20260110,,78.56,RSI_OVERBOUGHT,
348470.0,20260110,,,VOLUME_SPIKE_2X,2.69
357980.0,20260111,,80.88,RSI_OVERBOUGHT,
357980.0,20260111,,,BREAKOUT_UP_20D,
368710.0,20260112,,83.1,RSI_OVERBOUGHT,
368710.0,20260112,,,BREAKOUT_UP_20D,
372000.0,20260113,,83.72,RSI_OVERBOUGHT,
372000.0,20260113,,,BREAKOUT_UP_20D,
360840.0,20260114,,73.77,RSI_OVERBOUGHT,
371540.0,20260118,,76.64,RSI_OVERBOUGHT,
381560.0,20260119,,78.96,RSI_OVERBOUGHT,
381560.0,20260119,,,BREAKOUT_UP_20D,
384690.0,20260120,,79.64,RSI_OVERBOUGHT,
